name,terminology,code,term,DiabetesType
diabetes_drugs,DMD,38018511000001102,Lamzarin 60mg modified-release tablets (Key Pharmaceuticals Ltd) (product),general
diabetes_drugs,DMD,386047000,Metformin hydrochloride 500mg m/r tablet (product),general
diabetes_drugs,DMD,13411611000001100,Galvus 50mg tablets (Novartis Pharmaceuticals UK Ltd) (product),general
diabetes_drugs,DMD,19469611000001100,Pioglitazone 45mg tablets (Alliance Healthcare (Distribution) Ltd) (product),general
diabetes_drugs,DMD,197511000001103,Metformin 500mg tablets (Unichem Plc) (product),general
diabetes_drugs,DMD,20163611000001101,NovoRapid Penfill 100units/ml solution for injection 3ml cartridges (Doncaster Pharmaceuticals Ltd) (product),general
diabetes,SNOMED,775841000000109,Diabetic retinopathy detected by national screening programme (disorder),general
diabetes_drugs,DMD,18141911000001101,Metabet SR 500mg tablets (Morningside Healthcare Ltd) (product),general
diabetes_drugs,DMD,36048711000001108,Insulin soluble porcine 100units/ml solution for injection 10ml vials (product),general
diabetes_drugs,DMD,14664711000001106,NovoRapid Penfill 100units/ml solution for injection 3ml cartridges (Sigma Pharmaceuticals Plc) (product),general
diabetes_drugs,DMD,5330011000001109,Actos 30mg tablets (PI) (Waymade Ltd) (product),general
diabetes_drugs,DMD,37695011000001103,NovoMix 30 Penfill 100units/ml suspension for injection 3ml cartridges (Pilsco Ltd) (product),general
diabetes_drugs,DMD,21793711000001108,Metformin 500mg tablets (Waymade Healthcare Plc) (product),general
diabetes_drugs,DMD,37436211000001107,Eucreas 50mg/1000mg tablets (CST Pharma Ltd) (product),general
diabetes,SNOMED,739681000,Diabetic oculopathy due to type I diabetes mellitus,type1
diabetes,SNOMED,385051000000106,Pre-existing diabetes mellitus (disorder),general
diabetes_drugs,DMD,24054611000001100,Dapagliflozin 5mg / Metformin 1g tablets (product),general
diabetes_drugs,DMD,731211000001105,Glipizide 5mg tablets (A A H Pharmaceuticals Ltd) (product),general
diabetes_drugs,DMD,13186611000001105,Prandin 0.5mg tablets (Dowelhurst Ltd) (product),general
diabetes_drugs,DMD,18630911000001105,Lantus 100units/ml solution for injection 3ml pre-filled OptiSet pens (Mawdsley-Brooks & Company Ltd) (product),general
diabetes_drugs,DMD,21880311000001102,Repaglinide 1mg tablets (Waymade Healthcare Plc) (product),general
diabetes_drugs,DMD,38171211000001107,Tresiba FlexTouch 200units/ml solution for injection 3ml pre-filled pens (DE Pharmaceuticals) (product),general
diabetes_drugs,DMD,32493411000001108,Glimepiride 1mg tablets (Brown & Burk UK Ltd) (product),general
diabetes_drugs,DMD,37695811000001109,NovoRapid Penfill 100units/ml solution for injection 3ml cartridges (Pilsco Ltd) (product),general
diabetes,SNOMED,232020009,Diabetic maculopathy,general
diabetes_drugs,DMD,36082811000001107,Semglee 100units/ml solution for injection 3ml pre-filled pens (Mylan) (product),general
diabetes_drugs,DMD,36931811000001104,Insulin glargine 300units/ml solution for injection 3ml pre-filled disposable devices (product),general
diabetes_drugs,DMD,3271611000001106,Mixtard 30 InnoLet 100units/ml suspension for injection 3ml pre-filled pens (Novo Nordisk Ltd) (product),general
